City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,mostar,43.3433,17.8081,26.9,36,20,5.14,BA,1685205408
132,prado,-17.3411,-39.2208,26.4,64,51,3.58,BR,1685205408
133,ballasalla,54.0959,-4.6296,17.89,55,0,4.63,IM,1685205408
134,coquimbo,-29.9533,-71.3436,17.85,67,0,4.63,CL,1685205408
135,tazacorte,28.629,-17.9293,23.54,74,20,4.02,ES,1685205408
136,vorgashor,67.5833,63.95,12.54,56,100,5.3,RU,1685205408
137,stratford,41.1845,-73.1332,25.47,46,0,3.09,US,1685205133
138,shihezi,44.3,86.0333,21.46,28,99,2.62,CN,1685205408
139,bandarbeyla,9.4942,50.8122,28.14,78,57,9.99,SO,1685205409
140,nogliki,51.8333,143.1667,3.45,97,92,2.45,RU,1685205409
141,isafjordur,66.0755,-23.124,9.02,43,0,4.63,IS,1685205409
142,port mathurin,-19.6833,63.4167,25.47,71,47,10.11,MU,1685205409
143,new norfolk,-42.7826,147.0587,13.29,71,97,0.89,AU,1685205409
144,belmonte,-15.8631,-38.8828,25.54,74,51,4.16,BR,1685205409
145,queenstown,-31.8976,26.8753,10.17,25,0,2.15,ZA,1685205410
146,fale old settlement,-9.3852,-171.2468,28.57,75,20,4.65,TK,1685205410
147,noshiro,40.2039,140.0242,15.4,80,100,1.34,JP,1685205410
148,nar'yan-mar,67.6713,53.087,12.07,49,84,5.24,RU,1685205200
149,west bay,19.3667,-81.4167,31.04,72,20,3.13,KY,1685205410
150,bernardo de irigoyen,-26.2552,-53.6458,17.02,96,98,2.09,AR,1685205410
151,stanley,54.868,-1.6985,19.77,54,20,4.63,GB,1685205410
152,lorengau,-2.0226,147.2712,27.76,80,77,4.05,PG,1685205410
153,la gi,10.6667,107.7833,26.74,85,99,3.47,VN,1685205411
154,namibe,-15.1961,12.1522,20.93,72,7,5.43,AO,1685205411
155,constantia,44.1833,28.65,18.38,86,100,4.18,RO,1685205411
156,sao vicente,-23.9631,-46.3919,31.98,40,0,1.34,BR,1685205411
157,east ballina,-28.8667,153.5833,9.89,90,10,3.87,AU,1685205411
158,tambopata,-12.7333,-69.1833,29.94,66,75,2.06,PE,1685205411
159,dudinka,69.4058,86.1778,5.9,87,26,7.3,RU,1685205145
160,arraial do cabo,-22.9661,-42.0278,26.98,65,0,7.2,BR,1685205412
161,fallon,39.4735,-118.7774,18.29,60,75,2.57,US,1685205412
162,hermanus,-34.4187,19.2345,11.0,62,5,4.19,ZA,1685205412
163,brandon,27.9378,-82.2859,27.8,69,0,2.57,US,1685205394
164,scottburgh,-30.2867,30.7532,19.67,81,36,5.48,ZA,1685205412
165,jacobina,-11.1806,-40.5183,25.91,60,97,3.81,BR,1685205412
166,deta,45.3889,21.2244,20.0,81,14,4.14,RO,1685205412
167,grand gaube,-20.0064,57.6608,24.22,75,11,1.34,MU,1685205413
168,selfoss,63.9331,-20.9971,8.91,57,9,6.67,IS,1685205126
169,kerikeri,-35.2268,173.9474,17.17,89,87,1.79,NZ,1685205413
170,remire-montjoly,4.9167,-52.2667,32.02,62,75,4.12,GF,1685205413
171,greenville,35.6127,-77.3663,17.02,97,100,4.12,US,1685205313
172,nadym,65.5333,72.5167,15.28,77,99,8.93,RU,1685205413
173,olonkinbyen,70.9221,-8.7187,-0.32,78,100,8.59,SJ,1685205413
174,eduardo castex,-35.915,-64.2945,12.74,17,0,4.54,AR,1685205414
175,cheremukhovo,60.3484,59.9851,17.95,66,100,2.08,RU,1685205414
176,east london,-33.0153,27.9116,17.52,77,0,3.09,ZA,1685205414
177,i-n-salah,27.1935,2.4607,37.21,10,100,2.5,DZ,1685205414
178,valparaiso,-33.0393,-71.6273,17.8,65,0,3.09,CL,1685205414
179,mili,6.0815,171.735,27.8,76,100,8.65,MH,1685205414
180,manismata,-2.4667,111.0333,23.67,99,91,1.12,ID,1685205414
181,andergrove,-21.0833,149.1833,15.77,56,0,4.35,AU,1685205415
182,ajaccio,42.0,8.9167,22.03,72,0,4.63,FR,1685205415
183,ilulissat,69.2167,-51.1,2.01,87,75,7.2,GL,1685205415
184,gumia,23.7833,85.8167,31.48,33,0,0.63,IN,1685205415
185,utrik,11.2278,169.8474,27.55,76,100,6.98,MH,1685205415
186,nikolayevsk-on-amure,53.1406,140.73,0.65,95,57,2.07,RU,1685205325
187,maxixe,-23.8597,35.3472,22.9,68,40,0.0,MZ,1685205415
188,margate,51.3813,1.3862,13.72,71,5,3.58,GB,1685205271
189,rantauprapat,2.1,99.8333,23.44,98,86,1.06,ID,1685205416
190,trincomalee,8.5711,81.2335,28.26,80,63,5.77,LK,1685205416
191,rongelap,11.1635,166.8941,27.79,75,100,7.62,MH,1685205416
192,cabo san lucas,22.8909,-109.9124,29.23,65,40,7.72,MX,1685205416
193,porto novo,6.4965,2.6036,25.9,77,100,3.98,BJ,1685205416
194,ciudad lazaro cardenas,17.9583,-102.2,32.46,55,7,3.1,MX,1685205123
195,coruripe,-10.1256,-36.1756,27.17,77,12,4.39,BR,1685205417
196,mirny,62.5353,113.9611,7.91,65,90,3.13,RU,1685205417
197,mersa matruh,31.3525,27.2453,22.11,83,40,8.75,EG,1685205417
198,kingston,17.997,-76.7936,31.25,72,40,7.2,JM,1685205327
199,maintirano,-18.0667,44.0167,24.21,78,3,3.75,MG,1685205417
200,ryotsu-minato,38.0833,138.4333,17.73,86,100,0.96,JP,1685205417
201,montes claros,-16.735,-43.8617,26.88,39,20,2.06,BR,1685205417
202,sitka,57.0531,-135.33,8.94,71,100,5.14,US,1685205418
203,changling,44.2653,124.0005,16.84,83,99,3.3,CN,1685205418
204,vallegrande,-18.4897,-64.1069,20.15,66,98,1.75,BO,1685205418
205,tarawa,1.419,172.984,27.05,83,40,1.03,KI,1685205418
206,kailashahar,24.3333,92.0167,22.6,91,63,0.96,IN,1685205418
207,bikenibeu village,1.3673,173.1241,26.98,83,40,1.03,KI,1685205418
208,iqaluit,63.7506,-68.5145,-4.15,73,75,2.57,CA,1685205419
209,homer,59.6425,-151.5483,9.33,62,100,2.06,US,1685205419
210,tangalle,6.024,80.7911,27.23,83,67,6.04,LK,1685205419
211,houma,29.5958,-90.7195,28.0,68,0,3.13,US,1685205419
212,shache,38.4167,77.2406,22.62,24,100,3.77,CN,1685205419
213,arteche,12.2645,125.4048,26.53,81,100,4.83,PH,1685205419
214,slave lake,55.2834,-114.769,19.99,45,0,5.66,CA,1685205420
215,nemuro,43.3236,145.575,9.5,90,100,5.91,JP,1685205420
216,nadi,-17.8,177.4167,21.0,88,20,2.57,FJ,1685205420
217,smara,26.7384,-11.6719,28.39,23,57,4.79,EH,1685205420
218,klyuchi,52.2667,79.1667,9.19,52,21,2.69,RU,1685205420
219,solnechnyy,50.7214,136.6319,7.2,92,98,2.09,RU,1685205420
220,vilyuchinsk,52.9306,158.4028,4.15,82,98,0.79,RU,1685205421
221,vievis,54.7667,24.8,15.31,58,48,3.07,LT,1685205421
222,chernyshevskiy,63.0128,112.4714,6.65,79,91,1.66,RU,1685205421
223,kirsanov,52.6549,42.7224,16.49,96,100,5.82,RU,1685205421
224,zholymbet,51.7433,71.7122,13.28,38,27,3.47,KZ,1685205421
225,anadyr,64.75,177.4833,1.28,93,0,1.0,RU,1685205422
226,ikalamavony,-21.15,46.5833,17.05,80,30,2.93,MG,1685205422
227,boa esperanca do sul,-21.9925,-48.3908,28.63,38,26,3.36,BR,1685205422
228,verdal,63.7933,11.4817,12.02,89,100,2.57,NO,1685205422
229,hammerfest,70.6634,23.6821,5.25,52,20,1.54,NO,1685205422
230,la'ie,21.6477,-157.9253,23.98,74,0,0.89,US,1685205422
231,alaghsas,17.0187,8.0168,43.94,15,0,2.06,NE,1685205423
232,murzuq,25.9155,13.9184,28.38,21,0,5.81,LY,1685205423
233,vung tau,10.346,107.0843,27.48,80,100,4.49,VN,1685205423
234,beidaihehaibin,39.8222,119.5181,14.92,88,100,2.59,CN,1685205423
235,darya khan marri,26.6775,68.2859,36.88,24,64,4.94,PK,1685205423
236,akureyri,65.6835,-18.0878,8.96,29,0,3.6,IS,1685205423
237,grand island,40.925,-98.342,24.05,40,0,7.72,US,1685205424
238,wotje,9.4543,170.2367,27.42,78,100,6.78,MH,1685205424
239,ayacucho,-13.1583,-74.2239,18.92,45,75,1.54,PE,1685205424
240,peniche,39.3558,-9.3811,23.38,69,54,3.4,PT,1685205424
241,usak,38.5,29.4167,14.45,75,84,0.68,TR,1685205236
242,howrah,22.5892,88.3103,28.0,89,20,1.54,IN,1685205424
243,san antonio de pale,-1.4014,5.6325,26.18,82,100,6.94,GQ,1685205424
244,ashmyany,54.425,25.9378,15.0,62,42,2.72,BY,1685205425
245,banjarmasin,-3.3244,114.591,26.08,95,69,1.66,ID,1685205242
246,wynyard,-41.0,145.7167,11.05,92,92,2.83,AU,1685205425
247,hanceville,34.0607,-86.7675,23.62,47,21,2.44,US,1685205425
248,irati,-25.4672,-50.6511,21.0,69,91,1.7,BR,1685205425
249,takoradi,4.8845,-1.7554,27.99,81,99,5.2,GH,1685205430
250,palmer,42.1584,-72.3287,25.69,32,20,2.57,US,1685205203
251,guerrero negro,27.9769,-114.0611,18.38,65,20,9.18,MX,1685205431
252,robstown,27.7903,-97.6689,30.94,60,40,4.12,US,1685205431
253,borogontsy,62.6683,131.1683,1.47,76,14,1.95,RU,1685205431
254,port-cartier,50.0334,-66.8654,22.12,43,17,3.68,CA,1685205431
255,roma,43.2128,-75.4557,24.97,36,0,2.06,US,1685205431
256,san blas,21.5167,-105.2667,32.94,49,1,2.76,MX,1685205431
257,udachny,66.4167,112.4,10.25,61,90,3.11,RU,1685205432
258,yeniseysk,58.4497,92.1703,7.29,74,90,1.98,RU,1685205432
259,sao gabriel da cachoeira,-0.1303,-67.0892,26.89,94,40,1.54,BR,1685205432
260,jaciara,-15.9653,-54.9683,33.62,30,20,1.93,BR,1685205432
261,atafu village,-8.5421,-172.5159,28.47,75,26,4.86,TK,1685205432
262,twentynine palms,34.1356,-116.0542,26.7,33,0,1.79,US,1685205250
263,swan hill,-35.3378,143.5544,9.48,79,97,3.29,AU,1685205232
264,neijiang,29.5835,105.0622,21.31,91,97,1.27,CN,1685205303
265,nova vicosa,-17.8919,-39.3719,24.95,71,29,3.26,BR,1685205433
266,sao paulo de olivenca,-3.3783,-68.8725,27.3,92,79,0.94,BR,1685205433
267,muli,2.9167,73.5667,29.16,72,99,4.03,MV,1685205433
268,ad dawadimi,24.5077,44.3924,34.64,11,0,1.84,SA,1685205433
269,la sarre,48.8002,-79.1996,23.22,40,36,5.53,CA,1685205433
270,newman,37.3138,-121.0208,19.57,70,1,0.81,US,1685205433
271,taroa,8.7058,171.2275,27.41,80,100,6.93,MH,1685205434
272,sandnessjoen,66.0217,12.6316,9.8,93,100,2.68,NO,1685205434
273,xinxiang,35.3089,113.8672,17.57,90,100,3.37,CN,1685205434
274,vrangel',42.7297,133.0839,12.07,98,100,1.25,RU,1685205434
275,iturama,-19.7281,-50.1956,29.77,36,11,1.53,BR,1685205434
276,nzega,-2.479,29.5564,13.64,90,99,1.07,RW,1685205434
277,nieuw amsterdam,5.8833,-55.0833,32.01,55,40,4.12,SR,1685205435
278,taldom,56.7333,37.5333,16.49,52,77,2.86,RU,1685205435
279,ad dilam,23.9915,47.1627,40.23,15,7,1.62,SA,1685205435
